learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,0.744746,0.0,100000.0,74.8,71.983065319482,71.74887892376681,71.42857142857143,100000.0,0.0
200000.0,1.406728,0.0,200000.0,74.9,72.08179699795897,71.73423423423424,71.7660292463442,200000.0,0.0
300000.0,1.976988,0.0,300000.0,55.800000000000004,50.805367334763915,50.22522522522523,49.77272727272728,300000.0,0.0
400000.0,2.493343,0.0,400000.0,55.300000000000004,50.3237844607908,50.986842105263165,49.31972789115647,400000.0,0.0
500000.0,2.992907,0.0,500000.0,48.8,43.12021187721076,42.5364758698092,42.407199100112486,500000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,1.345114,0.0,100000.0,73.6,70.64696752042482,70.4035874439462,70.06802721088435,100000.0,0.0
200000.0,2.711858,0.0,200000.0,74.4,71.53246522179101,71.17117117117117,71.20359955005624,200000.0,0.0
300000.0,4.054566,0.0,300000.0,63.2,59.07236628452712,58.55855855855856,58.18181818181818,300000.0,0.0
400000.0,5.727492,0.0,400000.0,71.6,68.42262096693491,68.85964912280701,67.80045351473922,400000.0,0.0
500000.0,7.618926,0.0,500000.0,60.6,56.22017916391654,55.78002244668912,55.68053993250843,500000.0,0.0
600000.0,9.534082,0.0,600000.0,67.7,64.0951933134801,63.62612612612614,63.54401805869075,600000.0,0.0
700000.0,11.725069,0.0,700000.0,67.10000000000001,63.368209618461535,62.950450450450454,63.28125,700000.0,0.0
800000.0,14.263531,0.0,800000.0,66.4,62.62796584907927,62.374020156774925,61.904761904761905,800000.0,0.0
900000.0,16.889162,0.0,900000.0,69.0,65.50929969414537,65.8590308370044,65.09009009009009,900000.0,0.0
1000000.0,19.800642,0.0,1000000.0,72.3,69.19535372519364,69.52695269526953,68.34285714285714,1000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,1.295347,0.0,100000.0,74.7,71.87713978284262,71.63677130044843,71.31519274376417,100000.0,0.0
200000.0,2.542232,0.0,200000.0,73.8,70.85193562060346,70.4954954954955,70.52868391451068,200000.0,0.0
300000.0,3.851503,0.0,300000.0,66.8,63.07964676563249,62.612612612612615,62.27272727272728,300000.0,0.0
400000.0,5.391979,0.0,400000.0,72.5,69.41947034522637,69.84649122807018,68.82086167800453,400000.0,0.0
500000.0,7.159667,0.0,500000.0,60.699999999999996,56.34201642117846,55.892255892255896,55.793025871766034,500000.0,0.0
600000.0,9.159441,0.0,600000.0,66.60000000000001,62.87061297949992,62.38738738738739,62.302483069977434,600000.0,0.0
700000.0,11.39909,0.0,700000.0,67.60000000000001,63.93925768294149,63.51351351351352,63.83928571428572,700000.0,0.0
800000.0,13.867761,0.0,800000.0,67.7,64.07310844359813,63.829787234042556,63.378684807256235,800000.0,0.0
900000.0,16.610815,0.0,900000.0,69.8,66.40020471398452,66.74008810572687,65.99099099099098,900000.0,0.0
1000000.0,19.477992,0.0,1000000.0,72.8,69.74927487232414,70.07700770077008,68.91428571428571,1000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.595351,0.0,100000.0,94.45,87.4060136897312,87.18540752713,82.87565566183277,95.17999999999999,93.76,100000.0,0.0
200000.0,1.139836,0.0,200000.0,95.07,88.75724861002648,88.64578535237217,84.81675392670157,96.38,92.35,200000.0,0.0
300000.0,1.843279,0.0,300000.0,94.74000000000001,88.14298549616625,88.12641083521446,84.15185296776137,95.82000000000001,92.24,300000.0,0.0
400000.0,2.570178,0.0,400000.0,95.45,89.77652425731955,89.75225225225225,86.37316561844864,96.3,92.47999999999999,400000.0,0.0
500000.0,3.444196,0.0,500000.0,94.59,87.79654177904675,87.7601809954751,83.70972598614874,96.34,92.11,500000.0,0.0
600000.0,4.413295,0.0,600000.0,95.17,89.17942687792727,89.27381745502998,85.64209274673009,96.39,92.47999999999999,600000.0,0.0
700000.0,5.539968,0.0,700000.0,94.92,88.30785204608678,88.12529219261339,84.12003751172243,96.38,92.56,700000.0,0.0
800000.0,6.861137,0.0,800000.0,94.82000000000001,88.38766077317287,88.2031427920747,84.55114822546975,96.15,92.29,800000.0,0.0
900000.0,8.24911,0.0,900000.0,94.75,88.10671282500503,87.98901853122855,84.14376321353065,96.45,92.14,900000.0,0.0
1000000.0,9.853797,0.0,1000000.0,94.91000000000001,88.40721090613158,88.3310408069693,84.4008581060374,96.41999999999999,92.36,1000000.0,0.0
1100000.0,11.541979,0.0,1100000.0,95.07,88.74824730558181,88.93129770992367,84.7698486252703,96.13000000000001,92.17,1100000.0,0.0
1200000.0,13.421133,0.0,1200000.0,95.36,89.53590144262483,89.51886153151119,86.0702491744221,96.41999999999999,92.67,1200000.0,0.0
1300000.0,15.331287,0.0,1300000.0,95.06,88.85078797394533,89.0026714158504,85.08454106280193,96.43,92.52,1300000.0,0.0
1400000.0,17.423706,0.0,1400000.0,95.07,88.7697976167187,88.70561282932417,84.84475868429142,96.21,92.46,1400000.0,0.0
1500000.0,19.871999,0.0,1500000.0,94.94,88.5468786668096,88.38650447555658,84.5354523227384,96.15,92.11,1500000.0,0.0
1600000.0,22.454182,0.0,1600000.0,95.17999999999999,89.0316948065894,89.16853932584269,85.21925789635081,96.39,92.5,1600000.0,0.0
1700000.0,25.136204,0.0,1700000.0,94.92,88.4637073684027,88.53014224429894,84.47432762836188,96.27,92.28,1700000.0,0.0
1800000.0,28.021226,0.0,1800000.0,94.95,88.65659288255787,88.65678346810422,84.97917906008328,96.36,92.28,1800000.0,0.0
1900000.0,31.013865,0.0,1900000.0,95.36,89.41098610191925,89.54248366013073,85.72307692307692,96.59,92.13,1900000.0,0.0
2000000.0,34.2899,0.0,2000000.0,94.85,88.20812499112748,88.29545454545455,84.07052273430251,96.31,91.84,2000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.35265,0.0,100000.0,94.71000000000001,87.95561912033854,87.7857307781113,83.67787719839558,95.87,91.97,100000.0,0.0
200000.0,0.847894,0.0,200000.0,95.17999999999999,89.02477372703883,88.89912482726854,85.15552817985832,96.34,92.53,200000.0,0.0
300000.0,1.580006,0.0,300000.0,94.63000000000001,87.87204697894724,87.87810383747178,83.82042783971076,95.99,91.91,300000.0,0.0
400000.0,2.289411,0.0,400000.0,95.39,89.63242283666446,89.6171171171171,86.19347109913147,96.35000000000001,92.41,400000.0,0.0
500000.0,3.197432,0.0,500000.0,94.55,87.70631288277355,87.66968325791855,83.58928033724781,96.34,92.11,500000.0,0.0
